seconds,ts,rtt
1664920648, 1664920648.65463, 10.192632675170898
1664920649, 1664920649.1546333, 9.28950309753418
1664920649, 1664920649.6546304, 9.11092758178711
1664920650, 1664920650.1546338, 9.209632873535156
1664920650, 1664920650.6546342, 9.331464767456055
1664920651, 1664920651.154631, 10.327816009521484
1664920651, 1664920651.6546311, 10.401725769042969
1664920652, 1664920652.1546314, 20.34473419189453
1664920652, 1664920652.6546316, 9.407997131347656
1664920653, 1664920653.1546319, 9.31859016418457
1664920653, 1664920653.654632, 9.34457778930664
1664920654, 1664920654.1546323, 9.412527084350586
1664920654, 1664920654.6546328, 14.323234558105469
1664920655, 1664920655.154633, 9.315967559814453
